region,year,month,price_cowpeas,price_groundnuts,price_maize,price_millet,price_rice,price_sorghum,price_lag1,price_change_pct,price_volatility_3m,price_shock_flag
Ashanti,2008,9,12.68,14.63,5.52,5.47,11.29,4.98,5.75,-4.0,12.359,0
Ashanti,2008,10,13.35,13.05,5.67,5.13,10.61,4.48,5.52,2.72,3.637,0
Ashanti,2008,11,12.42,12.13,5.53,5.01,11.76,4.7,5.67,-2.47,3.522,0
Ashanti,2008,12,13.4,14.45,6.35,6.13,11.28,5.2,5.53,14.83,8.878,0
Ashanti,2009,1,12.12,12.42,5.19,5.82,9.56,4.99,6.35,-18.27,16.556,0
Ashanti,2009,2,11.96,12.4,5.46,5.9,10.69,4.79,5.19,5.2,17.025,0
Ashanti,2009,3,12.13,10.78,4.64,5.52,9.68,4.28,5.46,-15.02,12.716,0
Ashanti,2009,4,11.59,11.06,4.47,4.45,9.86,3.84,4.64,-3.66,10.136,0
Ashanti,2009,5,9.83,10.82,4.0,4.18,9.51,3.97,4.47,-10.51,5.72,0
Ashanti,2009,6,10.49,11.28,4.31,4.41,9.15,3.92,4.0,7.75,9.224,0
Ashanti,2009,7,10.09,11.5,5.04,4.76,10.26,3.95,4.31,16.94,13.973,0
Ashanti,2009,8,10.96,12.2,5.37,5.08,9.53,4.51,5.04,6.55,5.684,0
Ashanti,2009,9,11.99,11.16,5.29,4.56,9.79,4.18,5.37,-1.49,9.24,0
Ashanti,2009,10,11.12,11.93,5.1,4.52,10.86,4.18,5.29,-3.59,5.352,0
Ashanti,2009,11,10.06,11.16,4.47,4.95,9.87,3.92,5.1,-12.35,5.76,0
Ashanti,2009,12,11.92,13.0,5.74,5.3,10.72,4.32,4.47,28.41,21.456,1
Ashanti,2010,1,13.78,12.85,5.86,6.69,10.37,5.9,5.74,2.09,20.667,0
Ashanti,2010,2,12.33,12.2,5.36,6.37,9.95,4.95,5.86,-8.53,19.018,0
Ashanti,2010,3,13.89,12.3,5.0,5.45,10.48,4.2,5.36,-6.72,5.681,0
Ashanti,2010,4,11.97,11.44,4.89,5.13,10.0,4.18,5.0,-2.2,3.26,0
Ashanti,2010,5,11.43,11.43,4.11,4.42,10.91,3.78,4.89,-15.95,7.008,0
Ashanti,2010,6,11.17,12.31,4.91,4.91,11.16,4.08,4.11,19.46,17.852,0
Ashanti,2010,7,12.91,12.27,5.4,5.06,10.6,4.35,4.91,9.98,18.331,0
Ashanti,2010,8,13.19,12.48,5.9,4.97,11.36,4.54,5.4,9.26,5.693,0
Ashanti,2010,9,12.43,12.67,5.71,5.28,10.8,4.28,5.9,-3.22,7.422,0
Ashanti,2010,10,12.57,13.29,5.33,4.65,11.27,4.58,5.71,-6.65,8.373,0
Ashanti,2010,11,11.13,11.92,5.34,4.85,12.45,4.15,5.33,0.19,3.42,0
Ashanti,2010,12,12.74,12.97,5.89,6.2,12.26,4.67,5.34,10.3,8.527,0
Ashanti,2011,1,15.35,15.3,6.06,6.79,10.88,5.89,5.89,2.89,5.235,0
Ashanti,2011,2,14.67,13.13,6.06,6.44,11.21,5.21,6.06,0.0,5.313,0
Ashanti,2011,3,14.28,12.4,5.79,6.44,10.53,4.7,6.06,-4.46,3.703,0
Ashanti,2011,4,13.32,11.91,5.16,4.75,11.63,4.08,5.79,-10.88,5.469,0
Ashanti,2011,5,12.33,12.0,5.22,5.4,11.47,4.24,5.16,1.16,6.024,0
Ashanti,2011,6,11.59,11.87,5.03,4.69,10.88,4.41,5.22,-3.64,6.061,0
Ashanti,2011,7,13.89,14.06,5.64,5.19,12.06,4.56,5.03,12.13,8.084,0
Ashanti,2011,8,13.93,13.35,6.22,5.76,11.3,4.87,5.64,10.28,8.621,0
Ashanti,2011,9,14.07,15.06,5.8,5.59,11.22,4.8,6.22,-6.75,10.408,0
Ashanti,2011,10,13.1,13.17,5.64,5.24,11.82,4.64,5.8,-2.76,8.907,0
Ashanti,2011,11,13.14,13.62,5.24,5.2,11.38,4.18,5.64,-7.09,2.408,0
Ashanti,2011,12,15.25,14.14,5.69,6.24,11.7,4.99,5.24,8.59,8.098,0
Ashanti,2012,1,15.11,15.53,6.85,8.16,12.82,6.2,5.69,20.39,13.786,1
Ashanti,2012,2,16.32,14.3,6.5,7.29,11.49,5.48,6.85,-5.11,12.762,0
Ashanti,2012,3,14.9,13.82,6.12,6.85,12.33,5.11,6.5,-5.85,14.941,0
Ashanti,2012,4,12.19,12.75,5.22,5.49,11.64,4.69,6.12,-14.71,5.342,0
Ashanti,2012,5,11.99,12.85,4.96,4.72,11.47,4.06,5.22,-4.98,5.384,0
Ashanti,2012,6,13.25,13.7,5.71,5.64,12.08,4.55,4.96,15.12,15.212,0
Ashanti,2012,7,14.47,13.03,5.66,5.79,13.83,5.01,5.71,-0.88,10.621,0
Ashanti,2012,8,15.03,13.68,6.65,6.08,12.74,5.05,5.66,17.49,9.992,0
Ashanti,2012,9,15.23,15.57,6.74,5.58,12.61,4.76,6.65,1.35,10.024,0
Ashanti,2012,10,15.83,13.29,5.94,5.37,12.07,4.92,6.74,-11.87,14.704,0
Ashanti,2012,11,13.7,12.92,5.43,5.33,12.23,4.9,5.94,-8.59,6.884,0
Ashanti,2012,12,14.72,16.27,7.42,6.76,11.6,5.25,5.43,36.65,27.116,1
Ashanti,2013,1,16.4,17.78,7.8,7.55,13.73,6.79,7.42,5.12,23.198,0
Ashanti,2013,2,17.95,14.64,7.2,7.71,12.84,5.47,7.8,-7.69,22.819,0
Ashanti,2013,3,14.91,15.11,6.28,7.53,12.85,4.85,7.2,-12.78,9.223,0
Ashanti,2013,4,15.38,14.41,5.89,5.75,12.93,4.63,6.28,-6.21,3.446,0
Ashanti,2013,5,13.81,14.09,4.74,5.2,14.22,4.57,5.89,-19.52,6.655,0
Ashanti,2013,6,13.3,14.09,5.64,5.64,13.13,4.81,4.74,18.99,19.559,0
Ashanti,2013,7,13.66,15.14,6.74,6.11,12.88,4.93,5.64,19.5,22.382,0
Ashanti,2013,8,16.74,16.14,6.62,6.5,14.25,5.16,6.74,-1.78,12.141,0
Ashanti,2013,9,15.0,16.91,6.71,6.55,13.05,5.05,6.62,1.36,11.487,0
Ashanti,2013,10,15.01,14.46,6.64,6.01,12.09,4.82,6.71,-1.04,1.642,0
Ashanti,2013,11,13.56,16.48,5.99,5.27,12.26,5.04,6.64,-9.79,5.869,0
Ashanti,2013,12,17.48,17.73,7.26,6.68,13.21,5.72,5.99,21.2,15.977,1
Ashanti,2014,1,19.81,17.72,9.08,9.65,15.24,7.26,7.26,25.07,19.107,1
Ashanti,2014,2,18.48,18.35,8.32,8.57,15.72,7.03,9.08,-8.37,18.292,0
Ashanti,2014,3,18.6,18.82,7.34,8.68,14.47,6.51,8.32,-11.78,20.362,0
Ashanti,2014,4,18.49,17.07,6.49,6.67,15.07,5.43,7.34,-11.58,1.914,0
Ashanti,2014,5,15.66,17.16,6.55,6.98,14.7,5.12,6.49,0.92,7.275,0
Ashanti,2014,6,16.25,15.56,6.95,6.47,16.25,5.46,6.55,6.11,9.093,0
Ashanti,2014,7,18.6,18.08,7.74,7.18,16.46,5.88,6.95,11.37,5.225,0
Ashanti,2014,8,18.89,18.62,8.48,7.18,17.07,6.44,7.74,9.56,2.672,0
Ashanti,2014,9,17.53,20.16,8.22,7.35,15.9,6.26,8.48,-3.07,7.867,0
Ashanti,2014,10,18.02,17.6,8.07,7.17,17.16,6.31,8.22,-1.82,6.959,0
Ashanti,2014,11,16.84,16.77,7.5,6.92,15.23,5.93,8.07,-7.06,2.737,0
Ashanti,2014,12,19.0,18.6,8.63,9.18,16.02,6.41,7.5,15.07,11.565,0
Ashanti,2015,1,21.94,20.31,9.16,9.59,15.08,7.61,8.63,6.14,11.133,0
Ashanti,2015,2,21.3,18.75,9.26,9.27,16.46,6.6,9.16,1.09,7.079,0
Ashanti,2015,3,20.09,17.6,7.47,8.84,16.31,6.35,9.26,-19.33,13.486,0
Ashanti,2015,4,18.22,16.99,7.08,7.01,14.17,5.65,7.47,-5.22,10.455,0
Ashanti,2015,5,18.41,16.66,6.61,7.02,17.13,5.06,7.08,-6.64,7.769,0
Ashanti,2015,6,16.92,17.65,6.55,7.26,17.0,6.64,6.61,-0.91,2.984,0
Ashanti,2015,7,16.6,17.05,8.19,7.79,15.92,6.11,6.55,25.04,16.881,1
Ashanti,2015,8,19.47,19.9,8.8,8.32,16.69,5.88,8.19,7.45,13.246,0
Ashanti,2015,9,20.16,20.73,8.54,7.18,15.3,6.18,8.8,-2.95,14.148,0
Ashanti,2015,10,18.49,18.34,8.08,7.24,15.97,6.6,8.54,-5.39,6.819,0
Ashanti,2015,11,17.5,19.91,8.07,6.7,18.07,6.55,8.08,-0.12,2.637,0
Ashanti,2015,12,19.7,18.92,9.45,8.48,15.79,7.03,8.07,17.1,11.762,0
Ashanti,2016,1,19.78,20.63,8.36,9.24,15.04,7.21,9.45,-11.53,14.413,0
Ashanti,2016,2,18.6,18.07,8.87,9.13,14.04,7.32,8.36,6.1,14.442,0
Ashanti,2016,3,19.71,17.81,7.35,8.16,15.42,5.98,8.87,-17.14,12.127,0
Ashanti,2016,4,15.03,16.27,6.92,6.9,15.66,5.57,7.35,-5.85,11.622,0
Ashanti,2016,5,16.95,16.66,6.43,6.7,15.85,5.56,6.92,-7.08,6.194,0
Ashanti,2016,6,16.83,17.45,6.81,6.75,15.73,5.3,6.43,5.91,7.171,0
Ashanti,2016,7,18.01,18.89,7.77,7.1,16.54,6.25,6.81,14.1,10.68,0
Ashanti,2016,8,16.79,19.2,8.9,7.15,15.07,5.86,7.77,14.54,4.86,0
Ashanti,2016,9,18.94,19.65,8.32,6.69,14.75,5.66,8.9,-6.52,12.034,0
Ashanti,2016,10,17.33,17.14,7.56,6.6,15.18,5.71,8.32,-9.13,12.978,0
Ashanti,2016,11,18.31,15.41,7.27,6.44,14.65,5.84,7.56,-3.84,2.645,0
Ashanti,2016,12,19.26,18.4,8.25,8.48,15.83,6.75,7.27,13.48,11.826,0
Ashanti,2017,1,19.67,19.73,9.63,10.5,15.73,7.47,8.25,16.73,11.058,0
Ashanti,2017,2,19.22,18.04,8.81,9.29,16.29,7.3,9.63,-8.52,13.736,0
Ashanti,2017,3,19.51,17.74,7.68,7.56,14.68,6.62,8.81,-12.83,15.968,0
Ashanti,2017,4,19.03,17.5,7.53,6.98,16.03,5.68,7.68,-1.95,5.479,0
Ashanti,2017,5,18.4,16.48,7.05,6.86,17.09,5.34,7.53,-6.37,5.472,0
Ashanti,2017,6,17.63,18.24,7.76,6.39,16.64,5.66,7.05,10.07,8.508,0
Ashanti,2017,7,18.6,18.13,7.62,7.3,14.71,6.33,7.76,-1.8,8.486,0
Ashanti,2017,8,19.26,19.16,8.72,7.88,16.3,6.13,7.62,14.44,8.404,0
Ashanti,2017,9,19.65,22.05,8.32,7.86,15.78,5.62,8.72,-4.59,10.277,0
Ashanti,2017,10,19.9,19.45,9.08,7.62,16.46,5.83,8.32,9.13,9.82,0
Ashanti,2017,11,17.54,18.33,7.66,6.59,16.2,5.79,9.08,-15.64,12.409,0
Ashanti,2017,12,20.57,19.93,9.47,8.54,18.02,7.09,7.66,23.63,19.858,1
Ashanti,2018,1,21.42,23.38,10.25,10.14,16.72,7.23,9.47,8.24,19.787,0
Ashanti,2018,2,23.21,19.53,8.93,9.11,16.98,7.63,10.25,-12.88,18.33,0
Ashanti,2018,3,21.79,19.08,8.21,8.73,16.75,6.92,8.93,-8.06,11.068,0
Ashanti,2018,4,20.17,17.66,7.59,7.5,17.25,5.67,8.21,-7.55,2.941,0
Ashanti,2018,5,20.02,17.73,7.45,7.38,16.74,5.82,7.59,-1.84,3.453,0
Ashanti,2018,6,16.0,17.84,7.39,7.67,17.64,5.43,7.45,-0.81,3.631,0
Ashanti,2018,7,20.21,18.42,8.1,7.66,16.72,6.57,7.39,9.61,6.334,0
Ashanti,2018,8,21.07,21.72,9.61,7.84,18.3,6.92,8.1,18.64,9.733,0
Ashanti,2018,9,21.13,20.52,8.29,7.27,17.62,6.33,9.61,-13.74,16.709,0
Ashanti,2018,10,19.95,18.62,8.51,8.03,17.13,5.75,8.29,2.65,16.19,0
Ashanti,2018,11,18.97,19.36,8.44,7.64,18.05,6.25,8.51,-0.82,8.637,0
Ashanti,2018,12,21.27,21.36,9.52,9.14,17.82,6.99,8.44,12.8,7.078,0
Ashanti,2019,1,24.15,23.83,9.91,10.54,18.18,6.98,9.52,4.1,6.897,0
Ashanti,2019,2,24.15,19.25,8.91,10.64,17.6,8.1,9.91,-10.09,11.554,0
Ashanti,2019,3,22.2,20.61,9.07,8.98,17.38,7.2,8.91,1.8,7.616,0
Ashanti,2019,4,20.0,20.47,7.67,7.18,17.78,6.55,9.07,-15.44,8.824,0
Ashanti,2019,5,19.22,17.99,7.0,7.56,17.29,5.64,7.67,-8.74,8.691,0
Ashanti,2019,6,18.88,18.95,8.23,7.02,18.67,5.71,7.0,17.57,17.449,0
Ashanti,2019,7,22.24,18.59,9.04,8.03,19.18,6.41,8.23,9.84,13.523,0
Ashanti,2019,8,20.21,22.86,9.09,8.93,18.45,7.09,9.04,0.55,8.522,0
Ashanti,2019,9,22.48,20.4,10.34,7.31,19.28,6.28,9.09,13.75,6.78,0
Ashanti,2019,10,21.43,20.65,8.54,7.24,19.09,5.89,10.34,-17.41,15.64,0
Ashanti,2019,11,19.13,20.88,8.7,7.94,17.89,6.51,8.54,1.87,15.726,0
Ashanti,2019,12,22.24,20.5,10.69,9.1,18.96,7.22,8.7,22.87,20.146,1
Ashanti,2020,1,25.73,22.27,11.12,11.3,17.1,8.69,10.69,4.02,11.554,0
Ashanti,2020,2,23.89,21.32,9.92,10.46,18.51,8.1,11.12,-10.79,16.87,0
Ashanti,2020,3,24.8,22.81,8.3,9.84,17.32,7.0,9.92,-16.33,10.521,0
Ashanti,2020,4,22.32,19.12,8.9,7.9,18.37,6.36,8.3,7.23,12.319,0
Ashanti,2020,5,19.39,19.24,7.98,6.77,17.21,6.14,8.9,-10.34,12.245,0
Ashanti,2020,6,19.06,18.83,7.55,7.94,19.63,6.41,7.98,-5.39,9.06,0
Ashanti,2020,7,21.55,21.06,9.76,7.6,18.31,6.42,7.55,29.27,21.582,1
Ashanti,2020,8,21.18,22.79,10.03,9.12,19.59,7.34,9.76,2.77,18.121,0
Ashanti,2020,9,19.37,22.3,9.45,8.28,18.74,7.26,10.03,-5.78,18.275,0
Ashanti,2020,10,21.08,22.56,8.89,7.77,17.14,6.47,9.45,-5.93,4.98,0
Ashanti,2020,11,22.78,20.32,8.8,8.19,18.49,7.12,8.89,-1.01,2.798,0
Ashanti,2020,12,22.4,20.03,10.55,8.86,18.51,7.76,8.8,19.89,13.709,0
Ashanti,2021,1,25.78,24.98,10.83,11.39,19.07,8.85,10.55,2.65,11.161,0
Ashanti,2021,2,26.28,24.59,10.27,10.89,20.59,8.67,10.83,-5.17,12.822,0
Ashanti,2021,3,24.27,19.96,10.89,9.92,20.82,7.68,10.27,6.04,5.749,0
Ashanti,2021,4,21.72,20.36,8.61,8.28,19.06,6.46,10.89,-20.94,13.554,0
Ashanti,2021,5,22.29,21.58,8.35,7.87,18.13,6.66,8.61,-3.02,13.73,0
Ashanti,2021,6,21.12,20.66,8.06,8.71,18.7,7.15,8.35,-3.47,10.219,0
Ashanti,2021,7,22.22,19.98,8.8,8.96,19.95,6.91,8.06,9.18,7.177,0
Ashanti,2021,8,24.52,22.78,11.18,8.74,19.45,7.43,8.8,27.05,15.334,1
Ashanti,2021,9,22.45,25.72,10.56,9.2,18.07,6.81,11.18,-5.55,16.325,0
Ashanti,2021,10,21.14,22.3,10.35,8.5,19.19,6.71,10.56,-1.99,17.883,0
Ashanti,2021,11,19.71,22.06,9.05,8.42,21.05,6.63,10.35,-12.56,5.378,0
Ashanti,2021,12,24.6,21.81,11.21,10.34,20.11,7.54,9.05,23.87,18.742,1
Ashanti,2022,1,32.73,31.6,12.59,14.07,24.92,11.27,11.21,12.31,18.616,0
Ashanti,2022,2,34.48,29.53,13.64,14.86,24.46,11.05,12.59,8.34,8.068,0
Ashanti,2022,3,31.8,27.78,12.73,13.31,24.46,9.68,13.64,-6.67,10.011,0
Ashanti,2022,4,26.82,25.67,10.56,11.14,25.8,8.21,12.73,-17.05,12.765,0
Ashanti,2022,5,26.89,26.91,10.91,10.59,25.38,8.14,10.56,3.31,10.181,0
Ashanti,2022,6,28.7,27.9,10.9,10.44,26.26,9.17,10.91,-0.09,10.907,0
Ashanti,2022,7,28.71,28.99,12.22,10.79,26.06,8.83,10.9,12.11,6.296,0
Ashanti,2022,8,32.55,29.1,13.36,12.04,25.48,10.01,12.22,9.33,6.394,0
Ashanti,2022,9,30.13,30.14,13.99,10.73,26.03,8.82,13.36,4.72,3.733,0
Ashanti,2022,10,30.45,32.64,12.1,10.7,24.86,9.06,13.99,-13.51,12.078,0
Ashanti,2022,11,25.45,28.52,11.46,10.7,25.64,9.05,12.1,-5.29,9.13,0
Ashanti,2022,12,30.79,29.52,13.12,13.3,27.52,8.86,11.46,14.49,14.392,0
Ashanti,2023,1,26.97,24.45,11.78,12.96,20.71,9.77,13.12,-10.21,13.074,0
Ashanti,2023,2,25.66,22.95,11.14,11.69,20.54,9.58,11.78,-5.43,13.101,0
Ashanti,2023,3,27.89,22.21,10.38,10.9,21.05,7.72,11.14,-6.82,2.459,0
Ashanti,2023,4,23.22,22.28,8.74,8.24,19.68,7.2,10.38,-15.8,5.629,0
Ashanti,2023,5,21.95,21.48,8.77,8.87,21.2,6.65,8.74,0.34,8.087,0
Ashanti,2023,6,24.36,22.44,9.42,8.73,22.82,7.41,8.77,7.41,11.897,0
Ashanti,2023,7,24.42,21.56,9.71,9.37,20.25,8.46,9.42,3.08,3.565,0
Ashanti,2023,8,26.58,26.25,11.28,9.46,21.46,7.08,9.71,16.17,6.669,0
Ashanti,2023,9,23.48,24.88,10.72,9.79,21.22,7.39,11.28,-4.96,10.665,0
Ashanti,2023,10,23.49,24.97,10.32,8.9,21.26,7.65,10.72,-3.73,11.86,0
Ashanti,2023,11,25.68,22.89,9.54,8.49,21.3,7.67,10.32,-7.56,1.955,0
Ashanti,2023,12,27.02,24.43,11.3,10.5,22.21,7.86,9.54,18.45,14.042,0
Ashanti,2024,1,27.07,26.3,12.47,13.39,20.33,9.36,11.3,10.35,13.31,0
Ashanti,2024,2,29.01,25.35,12.51,11.81,22.32,9.02,12.47,0.32,9.082,0
Ashanti,2024,3,26.11,22.63,10.46,10.9,21.72,7.84,12.51,-16.39,13.508,0
Ashanti,2024,4,26.68,22.97,10.05,9.35,19.8,7.27,10.46,-3.92,8.686,0
Ashanti,2024,5,21.01,22.55,9.56,9.42,22.19,6.66,10.05,-4.88,6.939,0
Ashanti,2024,6,24.1,23.99,8.85,9.21,21.97,7.42,9.56,-7.43,1.814,0
Ashanti,2024,7,25.5,24.96,10.41,8.96,20.96,7.42,8.85,17.63,13.791,0
Ashanti,2024,8,25.1,25.02,12.48,9.56,22.16,8.18,10.41,19.88,15.16,0
Ashanti,2024,9,26.3,27.27,11.26,9.58,20.6,7.55,12.48,-9.78,16.513,0
Ashanti,2024,10,25.89,25.0,10.59,8.8,21.36,7.53,11.26,-5.95,16.133,0
Ashanti,2024,11,22.0,25.97,10.53,8.14,22.23,7.06,10.59,-0.57,4.627,0
Ashanti,2024,12,25.19,25.26,12.42,10.76,20.38,9.13,10.53,17.95,12.538,0
Bono,2003,1,5.31,6.48,2.83,3.91,3.93,3.33,,,,0
Bono,2003,2,4.94,6.0,2.64,3.4,4.3,2.77,2.83,-6.71,,0
Bono,2003,3,5.33,5.99,2.45,3.04,4.8,2.61,2.64,-7.2,0.346,0
Bono,2003,4,5.1,5.13,2.25,2.77,4.75,2.49,2.45,-8.16,0.738,0
Bono,2003,5,4.8,5.1,2.08,2.75,4.8,2.28,2.25,-7.56,0.485,0
Bono,2003,6,4.89,5.67,2.46,2.45,5.11,2.46,2.08,18.27,15.089,0
Bono,2003,7,5.32,5.73,2.66,2.75,4.82,2.76,2.46,8.13,13.014,0
Bono,2003,8,5.44,5.79,3.07,3.1,5.15,2.65,2.66,15.41,5.228,0
Bono,2003,9,5.31,7.19,2.56,2.5,5.45,2.7,3.07,-16.61,16.785,0
Bono,2003,10,5.66,6.41,2.93,2.6,5.16,2.67,2.56,14.45,18.216,0
Bono,2003,11,5.02,6.3,2.66,2.69,4.94,2.54,2.93,-9.22,16.226,0
Bono,2003,12,5.56,6.87,3.21,3.4,5.13,2.99,2.66,20.68,15.775,1
Bono,2004,1,6.77,7.78,3.71,4.01,5.07,3.26,3.21,15.58,15.995,0
Bono,2004,2,6.32,7.07,3.26,3.74,4.77,3.44,3.71,-12.13,17.656,0
Bono,2004,3,6.21,6.77,3.25,3.28,5.23,2.72,3.26,-0.31,13.905,0
Bono,2004,4,6.41,6.56,2.42,3.33,5.69,2.68,3.25,-25.54,12.623,0
