region,district,year,month,rainfall_mm,rainfall_avg_mm,rainfall_anomaly_pct,rainfall_1m_mm,rainfall_1m_avg_mm,rainfall_1m_anomaly_pct,rainfall_3m_mm,rainfall_3m_avg_mm,rainfall_3m_anomaly_pct,flood_flag,drought_flag,price_cowpeas,price_groundnuts,price_maize,price_millet,price_rice,price_sorghum,price_lag1,price_change_pct,price_volatility_3m,price_shock_flag,conflict_events,fatalities_total,flood_displace_events,conflict_events_lag1,flood_displace_lag1,high_conflict_flag,season_phase,is_lean_season,district_vulnerability,ipc_phase,flood_price_interaction
Greater Accra,Accra Metropolitan,2003,11,3.24,3.0,11.8,9.717,9.0,10.6,29.147,27.0,9.433,0,0,5.16,6.61,2.92,2.81,5.42,2.58,2.93,-0.34,0.193,0.0,1.0,0.0,0.0,2.0,0.0,0.0,harvest_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2003,12,5.863,6.667,0.533,17.583,20.0,0.5,52.743,60.0,0.433,0,0,5.7,7.35,3.26,3.44,5.06,3.07,2.92,11.64,7.017,0.0,1.0,3.0,0.0,1.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2004,1,8.07,9.667,-38.2,24.213,29.0,-34.367,72.643,87.0,-30.533,0,0,6.74,7.86,3.59,3.91,5.64,3.53,3.26,10.12,6.522,0.0,2.0,6.0,0.0,1.0,0.0,0.0,lean,1,1,3,0.0
Greater Accra,Accra Metropolitan,2004,2,29.83,27.667,7.0,89.49,83.0,6.333,268.467,249.0,5.633,0,0,6.52,7.52,3.5,3.59,4.79,3.31,3.59,-2.51,7.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lean,1,1,1,-0.0
Greater Accra,Accra Metropolitan,2004,3,18.207,24.0,-22.467,54.62,72.0,-20.2,163.863,216.0,-17.933,0,0,6.58,6.65,2.91,3.54,5.42,2.77,3.5,-16.86,13.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2004,4,10.287,10.0,10.833,30.857,30.0,9.733,92.567,90.0,8.667,0,0,5.99,6.27,2.83,2.91,5.18,2.99,2.91,-2.75,8.217,0.0,2.0,0.0,0.0,2.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2004,5,1.03,1.667,-26.733,3.093,5.0,-24.067,9.283,15.0,-21.4,0,0,5.58,6.85,2.62,3.04,5.49,2.56,2.83,-7.42,7.188,0.0,2.0,0.0,0.0,2.0,0.0,0.0,growing_s1,0,1,2,-0.0
Greater Accra,Accra Metropolitan,2004,6,9.513,8.333,8.767,28.533,25.0,7.867,85.603,75.0,7.033,0,0,5.37,6.36,2.81,2.93,6.08,2.78,2.62,7.25,7.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2004,7,4.04,4.0,-4.367,12.117,12.0,-3.967,36.353,36.0,-3.533,0,0,5.86,7.64,3.03,3.24,6.23,2.9,2.81,7.83,8.642,0.0,2.0,0.0,1.0,2.0,0.0,0.0,harvest_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2004,8,3.773,3.333,9.3,11.32,10.0,8.367,33.96,30.0,7.433,0,0,6.3,7.91,3.17,3.17,5.93,2.93,3.03,4.62,1.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inter_season,0,1,1,0.0
Greater Accra,Accra Metropolitan,2004,9,1.88,3.0,-32.4,5.637,9.0,-29.167,16.91,27.0,-25.933,0,0,6.33,7.91,3.34,3.01,5.38,2.82,3.17,5.36,1.681,0.0,1.0,0.0,1.0,2.0,1.0,0.0,growing_s2,0,1,2,0.0
Greater Accra,Accra Metropolitan,2004,10,3.43,2.667,31.5,10.283,8.0,28.333,30.847,24.0,25.2,0,0,6.56,8.03,3.21,3.31,5.56,3.02,3.34,-3.89,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2004,11,3.213,3.0,11.367,9.647,9.0,10.233,28.943,27.0,9.1,0,0,6.8,7.51,2.94,3.05,6.03,2.67,3.21,-8.41,7.019,0.0,1.0,0.0,1.0,1.0,1.0,0.0,harvest_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2004,12,7.755,5.75,29.425,23.27,17.25,26.5,69.81,51.75,23.55,0,0,6.74,7.23,3.52,3.96,5.81,3.32,2.94,19.73,15.112,0.0,2.0,3.0,0.0,1.0,1.0,0.0,lean,1,1,3,0.0
Greater Accra,Accra Metropolitan,2005,1,17.403,18.0,-18.633,52.213,54.0,-16.767,156.643,162.0,-14.867,0,0,7.55,8.23,3.73,4.19,6.32,3.91,3.52,5.97,14.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2005,2,26.365,27.5,-2.7,79.105,82.5,-2.4,237.325,247.5,-2.15,0,0,7.56,7.99,3.45,4.14,6.71,3.57,3.73,-7.51,13.62,0.0,1.0,0.0,0.0,2.0,0.0,0.0,lean,1,1,2,-0.0
Greater Accra,Accra Metropolitan,2005,3,22.625,22.5,-2.875,67.872,67.5,-2.6,203.615,202.5,-2.3,0,0,7.85,7.61,3.23,4.13,5.95,3.15,3.45,-6.38,7.478,0.0,2.0,0.0,0.0,1.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2005,4,3.663,4.667,-23.167,10.987,14.0,-20.833,32.97,42.0,-18.533,0,0,7.03,7.69,2.81,3.11,6.04,3.0,3.23,-13.0,3.541,0.0,3.0,0.0,0.0,2.0,0.0,1.0,planting_s1,0,1,2,-0.0
Greater Accra,Accra Metropolitan,2005,5,2.697,2.667,19.967,8.09,8.0,17.967,24.267,24.0,15.967,0,0,6.59,7.4,2.79,3.59,6.01,2.8,2.81,-0.71,6.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2005,6,9.58,8.333,17.0,28.737,25.0,15.333,86.203,75.0,13.633,0,0,6.27,7.04,3.18,3.28,6.38,2.66,2.79,13.98,13.508,0.0,1.0,0.0,0.0,3.0,0.0,0.0,growing_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2005,7,3.313,4.0,-17.933,9.947,12.0,-16.133,29.833,36.0,-14.333,0,0,6.78,7.62,3.69,3.32,6.54,3.32,3.18,16.04,9.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,harvest_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2005,8,1.91,2.333,-10.833,5.727,7.0,-9.733,17.187,21.0,-8.667,0,0,7.65,8.63,4.21,3.73,6.6,3.11,3.69,14.09,1.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inter_season,0,1,1,0.0
Greater Accra,Accra Metropolitan,2005,9,2.63,3.333,-21.833,7.883,10.0,-19.633,23.657,30.0,-17.467,0,0,7.75,8.02,3.6,3.71,6.96,3.16,4.21,-14.49,17.091,0.0,2.0,1.0,0.0,1.0,0.0,0.0,growing_s2,0,1,2,-0.0
Greater Accra,Accra Metropolitan,2005,10,2.05,2.667,-22.033,6.147,8.0,-19.833,18.44,24.0,-17.667,0,0,7.36,7.88,3.74,3.21,6.86,2.85,3.6,3.89,14.484,0.0,1.0,0.0,0.0,2.0,0.0,0.0,growing_s2,0,1,2,0.0
Greater Accra,Accra Metropolitan,2005,11,5.407,4.0,22.967,16.22,12.0,20.7,48.65,36.0,18.4,0,0,7.28,7.97,3.44,3.26,6.78,2.93,3.74,-8.02,9.323,0.0,2.0,0.0,0.0,1.0,0.0,0.0,harvest_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2005,12,5.927,5.667,4.767,17.773,17.0,4.267,53.327,51.0,3.8,0,0,7.43,9.02,3.91,4.21,6.88,3.45,3.44,13.66,10.858,0.0,1.0,0.0,0.0,2.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2006,1,16.507,18.0,-19.433,49.523,54.0,-17.533,148.57,162.0,-15.567,0,0,8.93,9.47,4.44,5.07,6.96,4.09,3.91,13.55,12.485,0.0,1.0,0.0,0.0,1.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2006,2,31.0,23.333,22.7,93.007,70.0,20.433,279.023,210.0,18.167,0,0,9.0,8.98,4.24,4.56,6.98,3.74,4.44,-4.5,10.453,0.0,1.0,1.0,0.0,1.0,0.0,0.0,lean,1,1,2,-0.0
Greater Accra,Accra Metropolitan,2006,3,23.517,25.0,-0.067,70.547,75.0,-0.1,211.64,225.0,-0.067,0,0,8.16,8.41,3.6,4.34,6.83,3.76,4.24,-15.09,14.481,0.0,4.0,0.0,0.0,1.0,0.0,1.0,planting_s1,0,1,2,-0.0
Greater Accra,Accra Metropolitan,2006,4,5.387,4.667,2.933,16.157,14.0,2.633,48.473,42.0,2.4,0,0,7.6,7.98,3.26,3.86,6.7,3.1,3.6,-9.44,5.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2006,5,2.893,2.667,16.3,8.677,8.0,14.7,26.03,24.0,13.067,0,0,7.76,7.84,3.12,3.56,7.25,3.19,3.26,-4.29,5.402,0.0,3.0,2.0,0.0,4.0,0.0,1.0,growing_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2006,6,9.733,8.333,4.467,29.2,25.0,4.0,87.597,75.0,3.567,0,0,7.14,8.7,3.3,3.43,7.09,3.21,3.12,5.77,7.736,0.0,2.0,0.0,2.0,3.0,0.0,0.0,growing_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2006,7,2.883,4.0,-22.533,8.653,12.0,-20.3,25.967,36.0,-18.033,0,0,9.07,8.15,4.04,3.77,7.53,3.5,3.3,22.42,13.49,1.0,2.0,1.0,0.0,2.0,2.0,0.0,harvest_s1,0,1,3,0.0
Greater Accra,Accra Metropolitan,2006,8,2.167,2.333,-8.4,6.497,7.0,-7.567,19.49,21.0,-6.767,0,0,8.82,9.12,4.07,4.36,7.43,3.16,4.04,0.74,11.347,0.0,1.0,2.0,0.0,2.0,0.0,0.0,inter_season,0,1,1,0.0
Greater Accra,Accra Metropolitan,2006,9,3.397,3.333,-4.0,10.193,10.0,-3.6,30.59,30.0,-3.2,0,0,8.64,10.32,3.95,3.89,7.48,3.26,4.07,-2.95,13.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2006,10,2.387,2.667,-10.7,7.153,8.0,-9.667,21.467,24.0,-8.6,0,0,8.21,9.02,3.97,3.88,7.91,3.2,3.95,0.51,2.067,0.0,1.0,2.0,0.0,1.0,0.0,0.0,growing_s2,0,1,1,0.0
Greater Accra,Accra Metropolitan,2006,11,3.66,4.0,1.967,10.973,12.0,1.767,32.923,36.0,1.6,0,0,8.26,8.28,3.78,3.58,7.07,3.15,3.97,-4.79,2.691,0.0,1.0,0.0,0.0,1.0,0.0,0.0,harvest_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2006,12,5.95,6.25,2.75,17.842,18.75,2.475,53.532,56.25,2.225,0,0,8.73,8.52,4.28,4.59,8.35,3.9,3.78,13.23,9.261,0.0,3.0,6.0,0.0,1.0,0.0,1.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2007,1,27.02,27.0,-4.933,81.057,81.0,-4.433,243.177,243.0,-3.933,0,0,9.72,10.91,5.2,5.6,6.89,4.5,4.28,21.5,13.443,1.0,1.0,3.0,0.0,3.0,0.0,0.0,lean,1,1,3,0.0
Greater Accra,Accra Metropolitan,2007,2,18.925,17.5,8.35,56.775,52.5,7.5,170.325,157.5,6.65,0,0,10.72,10.03,4.29,5.38,8.37,4.2,5.2,-17.5,20.55,0.0,2.0,0.0,0.0,1.0,0.0,0.0,lean,1,1,2,-0.0
Greater Accra,Accra Metropolitan,2007,3,20.015,20.75,-6.5,60.048,62.25,-5.875,180.145,186.75,-5.2,0,0,9.4,9.1,4.03,4.9,7.95,3.67,4.29,-6.06,20.048,0.0,1.0,0.0,0.0,2.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2007,4,3.127,2.333,3.233,9.38,7.0,2.867,28.137,21.0,2.567,0,0,8.85,8.28,3.33,3.79,7.73,3.74,4.03,-17.37,6.568,0.0,1.0,0.0,0.0,1.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2007,5,6.9,6.333,6.9,20.703,19.0,6.167,62.117,57.0,5.467,0,0,8.08,8.84,3.45,4.05,7.42,3.33,3.33,3.6,10.496,0.0,2.0,0.0,0.0,1.0,0.0,0.0,growing_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2007,6,6.22,5.333,15.467,18.663,16.0,13.967,55.993,48.0,12.4,0,0,8.58,9.72,3.49,4.18,7.84,3.06,3.45,1.16,11.468,0.0,1.0,0.0,0.0,2.0,0.0,0.0,growing_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2007,7,5.477,4.0,39.933,16.43,12.0,35.933,49.287,36.0,31.967,0,0,9.29,8.94,4.0,3.98,8.08,3.72,3.49,14.61,7.166,0.0,1.0,1.0,0.0,1.0,0.0,0.0,harvest_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2007,8,1.63,2.333,-27.833,4.887,7.0,-25.033,14.667,21.0,-22.233,0,0,10.39,10.66,4.19,4.15,8.29,3.9,4.0,4.75,6.964,0.0,3.0,0.0,1.0,1.0,0.0,1.0,inter_season,0,1,2,0.0
Greater Accra,Accra Metropolitan,2007,9,2.673,3.0,-5.567,8.02,9.0,-5.033,24.063,27.0,-4.467,0,0,9.21,9.8,4.26,4.14,8.88,3.83,4.19,1.67,6.76,0.0,2.0,0.0,0.0,3.0,1.0,0.0,growing_s2,0,1,1,0.0
Greater Accra,Accra Metropolitan,2007,10,3.13,2.667,15.067,9.393,8.0,13.533,28.18,24.0,12.033,0,0,8.59,9.69,4.27,3.99,8.38,3.63,4.26,0.23,2.309,0.0,2.0,0.0,0.0,2.0,0.0,0.0,growing_s2,0,1,1,0.0
Greater Accra,Accra Metropolitan,2007,11,11.057,7.333,41.067,33.17,22.0,36.967,99.517,66.0,32.833,0,0,8.73,9.89,4.05,3.91,8.55,3.31,4.27,-5.15,3.595,0.0,3.0,0.0,0.0,2.0,0.0,1.0,harvest_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2007,12,3.293,4.333,-12.633,9.88,13.0,-11.333,29.63,39.0,-10.1,0,0,9.61,10.92,4.68,4.61,8.63,4.25,4.05,15.56,10.746,0.0,3.0,2.0,1.0,3.0,0.0,1.0,lean,1,1,3,0.0
Greater Accra,Accra Metropolitan,2008,1,29.443,27.0,8.7,88.34,81.0,7.833,265.023,243.0,7.0,0,0,13.74,15.5,6.46,7.82,10.51,5.88,4.68,38.03,21.596,1.0,6.0,5.0,1.0,3.0,1.0,1.0,lean,1,1,3,0.0
Greater Accra,Accra Metropolitan,2008,2,18.857,20.0,-3.967,56.577,60.0,-3.533,169.733,180.0,-3.133,0,0,14.23,13.87,5.91,6.47,10.67,5.93,6.46,-8.51,23.275,0.0,4.0,0.0,0.0,6.0,1.0,1.0,lean,1,1,2,-0.0
Greater Accra,Accra Metropolitan,2008,3,15.01,19.333,-8.667,45.03,58.0,-7.8,135.097,174.0,-6.967,0,0,14.85,13.63,5.54,6.08,10.8,5.31,5.91,-6.26,26.244,0.0,3.0,0.0,2.0,4.0,0.0,1.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2008,4,2.067,2.333,-13.233,6.203,7.0,-11.933,18.617,21.0,-10.6,0,0,11.9,12.18,5.0,5.45,11.28,4.43,5.54,-9.75,1.769,0.0,4.0,5.0,0.0,3.0,2.0,1.0,planting_s1,0,1,2,-0.0
Greater Accra,Accra Metropolitan,2008,5,6.127,6.333,-2.533,18.377,19.0,-2.267,55.13,57.0,-2.0,0,0,10.34,11.77,4.85,4.79,10.52,4.58,5.0,-3.0,3.376,0.0,3.0,1.0,0.0,4.0,0.0,1.0,growing_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2008,6,4.867,5.333,-7.667,14.593,16.0,-6.9,43.78,48.0,-6.167,0,0,11.58,13.25,5.05,4.79,10.83,4.85,4.85,4.12,6.936,0.0,2.0,2.0,0.0,3.0,0.0,0.0,growing_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2008,7,5.353,4.0,33.4,16.053,12.0,30.033,48.163,36.0,26.7,0,0,12.69,13.89,5.58,5.4,11.39,4.82,5.05,10.5,6.753,0.0,3.0,0.0,0.0,2.0,0.0,1.0,harvest_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2008,8,1.773,2.333,-29.833,5.33,7.0,-26.833,15.983,21.0,-23.867,0,0,12.59,14.42,6.56,6.09,10.67,5.56,5.58,17.56,6.723,0.0,1.0,1.0,0.0,3.0,0.0,0.0,inter_season,0,1,3,0.0
Greater Accra,Accra Metropolitan,2008,9,4.753,3.0,74.367,14.267,9.0,66.9,42.8,27.0,59.467,1,0,13.49,15.01,6.25,5.64,11.43,5.09,6.56,-4.73,11.392,0.0,7.0,4.0,0.0,1.0,0.0,1.0,growing_s2,0,1,3,-4.73
Greater Accra,Accra Metropolitan,2008,10,4.015,3.0,34.5,12.048,9.0,31.05,36.145,27.0,27.6,0,0,12.85,14.94,5.81,4.78,11.13,4.57,6.25,-7.04,13.585,0.0,3.0,2.0,1.0,7.0,0.0,1.0,growing_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2008,11,7.087,6.667,-8.367,21.253,20.0,-7.533,63.76,60.0,-6.7,0,0,12.35,13.59,5.9,5.73,11.82,4.69,5.81,1.55,4.445,0.0,1.0,0.0,0.0,3.0,1.0,0.0,harvest_s2,0,1,1,0.0
Greater Accra,Accra Metropolitan,2008,12,9.3,9.667,-7.4,27.9,29.0,-6.7,83.7,87.0,-5.933,0,0,14.19,14.14,6.52,6.85,12.41,5.67,5.9,10.51,8.776,0.0,3.0,3.0,0.0,1.0,0.0,1.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2009,1,28.953,27.667,10.467,86.86,83.0,9.4,260.587,249.0,8.333,0,0,12.05,12.99,5.65,6.32,9.11,5.47,6.52,-13.34,12.047,0.0,1.0,1.0,0.0,3.0,0.0,0.0,lean,1,1,2,-0.0
Greater Accra,Accra Metropolitan,2009,2,23.74,24.0,-9.767,71.217,72.0,-8.767,213.647,216.0,-7.8,0,0,12.53,11.75,5.24,5.86,9.78,4.96,5.65,-7.26,12.393,0.0,2.0,0.0,0.0,1.0,0.0,0.0,lean,1,1,2,-0.0
Greater Accra,Accra Metropolitan,2009,3,8.853,10.0,-19.233,26.553,30.0,-17.3,79.66,90.0,-15.367,0,0,10.67,11.46,4.85,5.54,9.59,4.26,5.24,-7.44,3.459,0.0,2.0,1.0,0.0,2.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2009,4,1.783,1.667,-2.367,5.35,5.0,-2.133,16.047,15.0,-1.9,0,0,10.17,10.39,4.16,5.2,9.38,4.04,4.85,-14.23,3.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2009,5,9.387,8.333,16.333,28.16,25.0,14.667,84.477,75.0,13.033,0,0,10.03,11.01,3.76,4.63,9.63,3.7,4.16,-9.62,3.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2009,6,3.62,4.0,-17.7,10.86,12.0,-15.933,32.573,36.0,-14.133,0,0,9.76,11.3,4.48,4.53,10.33,3.73,3.76,19.15,18.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2009,7,3.04,3.333,-8.667,9.117,10.0,-7.833,27.347,30.0,-6.967,0,0,10.93,11.38,5.14,4.44,9.68,4.22,4.48,14.73,15.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,harvest_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2009,8,3.607,3.0,15.533,10.817,9.0,13.967,32.447,27.0,12.4,0,0,11.38,11.48,5.19,5.05,10.48,4.23,5.14,0.97,9.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inter_season,0,1,1,0.0
Greater Accra,Accra Metropolitan,2009,9,1.86,2.667,-27.833,5.573,8.0,-25.033,16.717,24.0,-22.233,0,0,11.4,13.38,5.53,4.97,9.84,4.68,5.19,6.55,6.921,0.0,1.0,2.0,0.0,2.0,0.0,0.0,growing_s2,0,1,2,0.0
Greater Accra,Accra Metropolitan,2009,10,3.52,3.0,24.2,10.557,9.0,21.767,31.67,27.0,19.367,0,0,11.66,11.34,4.62,4.53,9.26,4.06,5.53,-16.46,12.003,0.0,2.0,0.0,0.0,1.0,0.0,0.0,growing_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2009,11,7.603,6.667,28.767,22.813,20.0,25.867,68.437,60.0,22.967,0,0,10.69,10.99,4.68,4.47,9.96,4.08,4.62,1.3,12.058,0.0,1.0,0.0,0.0,2.0,0.0,0.0,harvest_s2,0,1,1,0.0
Greater Accra,Accra Metropolitan,2009,12,8.023,9.667,-6.233,24.07,29.0,-5.567,72.213,87.0,-4.967,0,0,11.27,12.33,6.08,5.79,9.35,4.47,4.68,29.91,23.396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2010,1,29.463,27.667,9.1,88.397,83.0,8.167,265.193,249.0,7.3,0,0,12.8,11.83,6.26,6.37,10.01,5.64,6.08,2.96,16.06,0.0,2.0,0.0,2.0,1.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2010,2,22.84,24.0,-1.567,68.53,72.0,-1.4,205.59,216.0,-1.267,0,0,13.79,13.33,5.59,6.49,10.06,5.1,6.26,-10.7,20.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lean,1,1,1,-0.0
Greater Accra,Accra Metropolitan,2010,3,3.617,10.0,-43.433,10.853,30.0,-39.133,32.56,90.0,-34.767,0,1,12.9,11.84,5.25,5.6,11.24,4.44,5.59,-6.08,6.948,0.0,1.0,0.0,0.0,2.0,2.0,0.0,planting_s1,0,1,3,-0.0
Greater Accra,Accra Metropolitan,2010,4,1.18,1.667,-5.4,3.547,5.0,-4.867,10.64,15.0,-4.333,0,0,12.33,12.14,4.98,4.45,11.21,4.02,5.25,-5.14,2.976,0.0,1.0,1.0,0.0,1.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2010,5,9.43,8.333,11.067,28.29,25.0,9.933,84.873,75.0,8.833,0,0,11.57,12.36,4.14,4.63,10.48,3.71,4.98,-16.87,6.518,0.0,2.0,0.0,1.0,1.0,0.0,0.0,growing_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2010,6,3.653,4.0,-0.667,10.957,12.0,-0.6,32.873,36.0,-0.533,0,0,10.96,11.57,5.07,4.75,11.14,4.11,4.14,22.46,20.192,1.0,2.0,3.0,0.0,2.0,1.0,0.0,growing_s1,0,1,2,0.0
Greater Accra,Accra Metropolitan,2010,7,3.02,3.333,-1.867,9.06,10.0,-1.667,27.177,30.0,-1.467,0,0,12.73,12.93,5.18,5.19,10.36,4.44,5.07,2.17,19.668,0.0,1.0,2.0,0.0,2.0,0.0,0.0,harvest_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2010,8,2.637,3.0,-13.3,7.91,9.0,-11.967,23.73,27.0,-10.633,0,0,13.54,12.15,6.09,5.46,9.88,4.22,5.18,17.57,10.589,0.0,1.0,0.0,1.0,1.0,0.0,0.0,inter_season,0,1,2,0.0
Greater Accra,Accra Metropolitan,2010,9,3.593,2.667,33.367,10.79,8.0,30.033,32.36,24.0,26.7,0,0,11.54,13.84,5.47,4.78,10.99,4.59,6.09,-10.18,13.903,0.0,1.0,2.0,0.0,1.0,1.0,0.0,growing_s2,0,1,1,-0.0
