event_id_cnty,event_date,year,event_type,sub_event_type,admin1,admin2,location,latitude,longitude,fatalities,notes
GHA59,2006-12-28,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.4055,-0.5285,2,Event recorded in Greater Accra on 2006-12-28
GHA60,2007-01-10,2007,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.9499,-0.3274,3,Event recorded in Greater Accra on 2007-01-10
GHA61,2007-02-12,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.5382,0.056,0,Event recorded in Greater Accra on 2007-02-12
GHA62,2007-02-22,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.2596,0.2538,0,Event recorded in Greater Accra on 2007-02-22
GHA63,2007-03-28,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.9393,-0.3247,0,Event recorded in Greater Accra on 2007-03-28
GHA64,2007-04-24,2007,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.6113,-0.3702,0,Event recorded in Greater Accra on 2007-04-24
GHA65,2007-05-02,2007,Explosions/Remote violence,Explosions/Remote violence,Greater Accra,Greater Accra,Greater Accra,5.4184,-0.2335,0,Event recorded in Greater Accra on 2007-05-02
GHA66,2007-05-15,2007,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.7144,-0.1171,0,Event recorded in Greater Accra on 2007-05-15
GHA67,2007-06-15,2007,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.7405,0.5642,0,Event recorded in Greater Accra on 2007-06-15
GHA68,2007-07-19,2007,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.7101,-0.4106,1,Event recorded in Greater Accra on 2007-07-19
GHA69,2007-08-06,2007,Explosions/Remote violence,Explosions/Remote violence,Greater Accra,Greater Accra,Greater Accra,5.2258,-0.0287,0,Event recorded in Greater Accra on 2007-08-06
GHA70,2007-08-07,2007,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.3415,0.1935,0,Event recorded in Greater Accra on 2007-08-07
GHA71,2007-08-22,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.7572,-0.0363,0,Event recorded in Greater Accra on 2007-08-22
GHA72,2007-09-02,2007,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3995,-0.4255,0,Event recorded in Greater Accra on 2007-09-02
GHA73,2007-09-05,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.7753,-0.1209,0,Event recorded in Greater Accra on 2007-09-05
GHA74,2007-10-03,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.6191,-0.5215,0,Event recorded in Greater Accra on 2007-10-03
GHA75,2007-10-13,2007,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.7944,-0.0747,0,Event recorded in Greater Accra on 2007-10-13
GHA76,2007-11-07,2007,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.6389,-0.1242,0,Event recorded in Greater Accra on 2007-11-07
GHA77,2007-11-10,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.4915,-0.5054,0,Event recorded in Greater Accra on 2007-11-10
GHA78,2007-11-23,2007,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.677,0.0056,0,Event recorded in Greater Accra on 2007-11-23
GHA79,2007-12-03,2007,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.8072,-0.4687,2,Event recorded in Greater Accra on 2007-12-03
GHA80,2007-12-14,2007,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.7581,-0.3512,0,Event recorded in Greater Accra on 2007-12-14
GHA81,2007-12-19,2007,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.7752,-0.3177,0,Event recorded in Greater Accra on 2007-12-19
GHA82,2008-01-03,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.5633,0.2107,0,Event recorded in Greater Accra on 2008-01-03
GHA83,2008-01-04,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.019,0.0228,5,Event recorded in Greater Accra on 2008-01-04
GHA84,2008-01-05,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.7428,-0.4544,0,Event recorded in Greater Accra on 2008-01-05
GHA85,2008-01-06,2008,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.7182,0.1651,0,Event recorded in Greater Accra on 2008-01-06
GHA86,2008-01-07,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3784,-0.0852,0,Event recorded in Greater Accra on 2008-01-07
GHA87,2008-01-22,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.33,0.0745,0,Event recorded in Greater Accra on 2008-01-22
GHA88,2008-02-03,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.0879,-0.2587,0,Event recorded in Greater Accra on 2008-02-03
GHA89,2008-02-12,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.4298,-0.4164,0,Event recorded in Greater Accra on 2008-02-12
GHA90,2008-02-15,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3962,-0.1539,0,Event recorded in Greater Accra on 2008-02-15
GHA91,2008-02-23,2008,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.5681,-0.3638,0,Event recorded in Greater Accra on 2008-02-23
GHA92,2008-03-03,2008,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.3625,-0.4084,0,Event recorded in Greater Accra on 2008-03-03
GHA93,2008-03-22,2008,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.8329,-0.1456,0,Event recorded in Greater Accra on 2008-03-22
GHA94,2008-03-31,2008,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.9454,-0.13,0,Event recorded in Greater Accra on 2008-03-31
GHA95,2008-04-06,2008,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.3898,-0.203,3,Event recorded in Greater Accra on 2008-04-06
GHA96,2008-04-10,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.0311,-0.5271,2,Event recorded in Greater Accra on 2008-04-10
GHA97,2008-04-11,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.186,0.0754,0,Event recorded in Greater Accra on 2008-04-11
GHA98,2008-04-21,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.5661,-0.8068,0,Event recorded in Greater Accra on 2008-04-21
GHA99,2008-05-22,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.4707,-0.2029,0,Event recorded in Greater Accra on 2008-05-22
GHA100,2008-05-25,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.5608,0.3193,1,Event recorded in Greater Accra on 2008-05-25
GHA101,2008-05-29,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.5783,-0.8034,0,Event recorded in Greater Accra on 2008-05-29
GHA102,2008-06-17,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.1272,-0.5068,0,Event recorded in Greater Accra on 2008-06-17
GHA103,2008-06-20,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.7671,-0.0817,2,Event recorded in Greater Accra on 2008-06-20
GHA104,2008-07-07,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6062,-0.327,0,Event recorded in Greater Accra on 2008-07-07
GHA105,2008-07-19,2008,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,6.2317,-0.1019,0,Event recorded in Greater Accra on 2008-07-19
GHA106,2008-07-27,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.6817,-0.3062,0,Event recorded in Greater Accra on 2008-07-27
GHA107,2008-08-15,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.3425,-0.3387,1,Event recorded in Greater Accra on 2008-08-15
GHA108,2008-09-10,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.7079,0.0427,2,Event recorded in Greater Accra on 2008-09-10
GHA109,2008-09-11,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6168,-0.3584,0,Event recorded in Greater Accra on 2008-09-11
GHA110,2008-09-14,2008,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.1836,-0.0725,1,Event recorded in Greater Accra on 2008-09-14
GHA111,2008-09-15,2008,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,4.8061,-0.3925,1,Event recorded in Greater Accra on 2008-09-15
GHA112,2008-09-23,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.7683,-0.1623,0,Event recorded in Greater Accra on 2008-09-23
GHA113,2008-09-24,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,6.1336,0.0425,0,Event recorded in Greater Accra on 2008-09-24
GHA114,2008-09-26,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.3172,-0.4059,0,Event recorded in Greater Accra on 2008-09-26
GHA115,2008-10-03,2008,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.6745,-0.2061,0,Event recorded in Greater Accra on 2008-10-03
GHA116,2008-10-11,2008,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.4744,-0.2566,2,Event recorded in Greater Accra on 2008-10-11
GHA117,2008-10-27,2008,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.163,0.4604,0,Event recorded in Greater Accra on 2008-10-27
GHA118,2008-11-14,2008,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.4646,-0.0732,0,Event recorded in Greater Accra on 2008-11-14
GHA119,2008-12-03,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.8512,-0.6381,2,Event recorded in Greater Accra on 2008-12-03
GHA120,2008-12-20,2008,Explosions/Remote violence,Explosions/Remote violence,Greater Accra,Greater Accra,Greater Accra,5.6006,-0.5959,0,Event recorded in Greater Accra on 2008-12-20
GHA121,2008-12-26,2008,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,6.0722,0.0402,1,Event recorded in Greater Accra on 2008-12-26
GHA122,2009-01-04,2009,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.6982,-0.3514,1,Event recorded in Greater Accra on 2009-01-04
GHA123,2009-02-01,2009,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.5002,0.1074,0,Event recorded in Greater Accra on 2009-02-01
GHA124,2009-02-24,2009,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.1924,0.1428,0,Event recorded in Greater Accra on 2009-02-24
GHA125,2009-03-14,2009,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,6.1113,-0.1747,0,Event recorded in Greater Accra on 2009-03-14
GHA126,2009-03-29,2009,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.9192,0.162,1,Event recorded in Greater Accra on 2009-03-29
GHA127,2009-09-25,2009,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.9275,-0.1414,2,Event recorded in Greater Accra on 2009-09-25
GHA128,2009-10-13,2009,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6909,-0.4513,0,Event recorded in Greater Accra on 2009-10-13
GHA129,2009-10-21,2009,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3575,-0.0155,0,Event recorded in Greater Accra on 2009-10-21
GHA130,2009-11-05,2009,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.4646,0.3763,0,Event recorded in Greater Accra on 2009-11-05
GHA131,2010-01-05,2010,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.6477,-0.2829,0,Event recorded in Greater Accra on 2010-01-05
GHA132,2010-01-07,2010,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.7066,-0.3823,0,Event recorded in Greater Accra on 2010-01-07
GHA133,2010-03-20,2010,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.7698,-0.2619,0,Event recorded in Greater Accra on 2010-03-20
GHA134,2010-04-24,2010,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.4323,-0.1101,1,Event recorded in Greater Accra on 2010-04-24
GHA135,2010-05-09,2010,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.2955,0.0128,0,Event recorded in Greater Accra on 2010-05-09
GHA136,2010-05-28,2010,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,6.0762,-0.0213,0,Event recorded in Greater Accra on 2010-05-28
GHA137,2010-06-12,2010,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.3925,-0.5496,0,Event recorded in Greater Accra on 2010-06-12
GHA138,2010-06-21,2010,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.1482,-0.0918,3,Event recorded in Greater Accra on 2010-06-21
GHA139,2010-07-16,2010,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.6845,-0.3307,2,Event recorded in Greater Accra on 2010-07-16
GHA140,2010-08-10,2010,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.9731,-0.2031,0,Event recorded in Greater Accra on 2010-08-10
GHA141,2010-09-19,2010,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.7613,0.3301,2,Event recorded in Greater Accra on 2010-09-19
GHA142,2010-10-22,2010,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.7279,0.5369,0,Event recorded in Greater Accra on 2010-10-22
GHA143,2010-11-06,2010,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.6101,-0.315,0,Event recorded in Greater Accra on 2010-11-06
GHA144,2010-11-26,2010,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.6703,-0.4053,0,Event recorded in Greater Accra on 2010-11-26
GHA145,2011-01-12,2011,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3597,-0.3011,0,Event recorded in Greater Accra on 2011-01-12
GHA146,2011-01-23,2011,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6478,-0.0026,0,Event recorded in Greater Accra on 2011-01-23
GHA147,2011-02-22,2011,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.5565,-0.2888,0,Event recorded in Greater Accra on 2011-02-22
GHA148,2011-03-12,2011,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.4705,-0.5262,0,Event recorded in Greater Accra on 2011-03-12
GHA149,2011-05-11,2011,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.6529,-0.3304,1,Event recorded in Greater Accra on 2011-05-11
GHA150,2011-05-21,2011,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.8738,-0.0088,0,Event recorded in Greater Accra on 2011-05-21
GHA151,2011-06-25,2011,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.1329,-0.1844,0,Event recorded in Greater Accra on 2011-06-25
GHA152,2011-07-22,2011,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.2929,-0.2407,0,Event recorded in Greater Accra on 2011-07-22
GHA153,2011-07-31,2011,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6038,-0.5006,0,Event recorded in Greater Accra on 2011-07-31
GHA154,2011-08-07,2011,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.8189,-0.1411,0,Event recorded in Greater Accra on 2011-08-07
GHA155,2011-08-26,2011,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3438,-0.6309,0,Event recorded in Greater Accra on 2011-08-26
GHA156,2011-09-23,2011,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.6394,-0.269,0,Event recorded in Greater Accra on 2011-09-23
GHA157,2011-10-23,2011,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.3666,-0.2551,0,Event recorded in Greater Accra on 2011-10-23
GHA158,2011-11-01,2011,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.0978,0.0476,0,Event recorded in Greater Accra on 2011-11-01
GHA159,2011-12-12,2011,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.1478,-0.3373,0,Event recorded in Greater Accra on 2011-12-12
GHA160,2011-12-28,2011,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.393,0.1863,0,Event recorded in Greater Accra on 2011-12-28
GHA161,2012-01-08,2012,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.7191,0.1568,0,Event recorded in Greater Accra on 2012-01-08
GHA162,2012-01-20,2012,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.8463,-0.3448,0,Event recorded in Greater Accra on 2012-01-20
GHA163,2012-01-27,2012,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.1669,-0.3308,0,Event recorded in Greater Accra on 2012-01-27
GHA164,2012-02-15,2012,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.1466,-0.2839,3,Event recorded in Greater Accra on 2012-02-15
GHA165,2012-02-25,2012,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.4988,-0.7456,0,Event recorded in Greater Accra on 2012-02-25
GHA166,2012-03-22,2012,Explosions/Remote violence,Explosions/Remote violence,Greater Accra,Greater Accra,Greater Accra,4.9187,-0.1704,0,Event recorded in Greater Accra on 2012-03-22
GHA167,2012-04-21,2012,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.3347,-0.0979,0,Event recorded in Greater Accra on 2012-04-21
GHA168,2012-05-09,2012,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.1934,0.1135,1,Event recorded in Greater Accra on 2012-05-09
GHA169,2012-05-13,2012,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.7219,-0.5663,0,Event recorded in Greater Accra on 2012-05-13
GHA170,2012-06-08,2012,Explosions/Remote violence,Explosions/Remote violence,Greater Accra,Greater Accra,Greater Accra,5.8986,-0.1829,0,Event recorded in Greater Accra on 2012-06-08
