date,admin1,admin2,market,category,commodity,unit,pricetype,currency,price,usdprice
2006-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.12,0.78
2006-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.3,0.82
2006-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.04,1.0
2006-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.07,1.0
2006-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.95,0.96
2006-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.97,0.96
2006-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.78,0.91
2006-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.28,1.03
2007-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.2,1.24
2007-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.29,1.02
2007-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.03,0.95
2007-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.33,0.78
2007-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.45,0.8
2007-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.49,0.81
2007-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.0,0.92
2007-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.19,0.96
2007-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.26,0.97
2007-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.27,0.96
2007-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.05,0.91
2007-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.68,1.05
2008-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.46,1.44
2008-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.91,1.31
2008-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.54,1.22
2008-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.0,1.09
2008-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.85,1.05
2008-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.05,1.09
2008-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.58,1.2
2008-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.56,1.4
2008-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.25,1.33
2008-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.81,1.23
2008-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.9,1.24
2008-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.52,1.37
2009-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.65,1.18
2009-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.24,1.09
2009-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.85,1.0
2009-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.16,0.85
2009-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.76,0.77
2009-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.48,0.91
2009-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.14,1.04
2009-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.19,1.04
2009-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.53,1.11
2009-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.62,0.92
2009-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.68,0.93
2009-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.08,1.2
2010-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.26,1.23
2010-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.59,1.09
2010-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.25,1.02
2010-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.98,0.96
2010-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.14,0.8
2010-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.07,0.97
2010-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.18,0.99
2010-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.09,1.15
2010-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.47,1.03
2010-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.86,1.1
2010-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.16,0.96
2010-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.62,1.05
2011-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.76,1.25
2011-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.48,1.19
2011-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.89,1.08
2011-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.06,0.92
2011-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.98,0.91
2011-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.98,0.9
2011-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.86,1.06
2011-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.4,1.15
2011-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.16,0.92
2011-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.49,0.98
2011-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.58,0.99
2011-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.48,1.14
2012-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.04,1.24
2012-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.53,1.14
2012-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.3,1.1
2012-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.47,0.95
2012-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.51,0.78
2012-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.96,1.02
2012-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.48,0.94
2012-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.02,1.19
2012-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.93,1.01
2012-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.59,1.11
2012-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.8,0.97
2012-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.97,1.17
2013-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.76,1.13
2013-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.16,1.19
2013-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.44,1.06
2013-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.89,0.97
2013-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.68,0.93
2013-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.82,0.95
2013-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.37,1.04
2013-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.83,1.11
2013-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.67,1.08
2013-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.93,1.11
2013-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.97,0.96
2013-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.58,1.05
2014-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.46,1.34
2014-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.45,1.34
2014-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.38,1.16
2014-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.98,1.09
2014-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.78,0.9
2014-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,5.82,0.91
2014-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.73,1.2
2014-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.86,1.37
2014-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.39,1.14
2014-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.94,1.22
2014-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.82,1.19
2014-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.58,1.3
2015-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.83,1.49
2015-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.74,1.32
2015-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.81,1.17
2015-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.44,1.11
2015-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.43,1.11
2015-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.01,1.04
2015-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.01,1.19
2015-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.45,1.25
2015-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.59,1.26
2015-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.09,1.19
2015-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.23,1.2
2015-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.69,1.41
2016-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.2,1.33
2016-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.57,1.24
2016-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.18,1.03
2016-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.4,0.92
2016-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.51,0.93
2016-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.78,0.97
2016-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.32,1.18
2016-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.55,1.07
2016-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.25,1.16
2016-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.89,1.11
2016-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.02,0.98
2016-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.08,1.13
2017-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.14,1.27
2017-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.86,1.09
2017-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.38,1.16
2017-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.01,1.1
2017-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.58,0.9
2017-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,6.89,0.94
2017-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.42,1.01
2017-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.29,1.12
2017-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.15,1.1
2017-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.52,1.15
2017-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.88,1.19
2017-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.58,1.15
2018-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.31,1.24
2018-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.45,1.12
2018-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.37,1.11
2018-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.52,0.99
2018-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.05,0.93
2018-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.29,0.96
2018-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.88,1.16
2018-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.53,1.24
2018-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.11,1.18
2018-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.56,1.11
2018-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.94,1.02
2018-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.98,1.15
2019-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,10.47,1.34
2019-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.58,1.22
2019-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.81,1.12
2019-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.13,0.91
2019-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.46,0.94
2019-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.67,0.97
2019-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.31,1.05
2019-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.94,1.25
2019-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.27,1.16
2019-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.81,1.22
2019-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.57,1.06
2019-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.58,1.19
2020-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,10.59,1.31
2020-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.22,1.13
2020-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.49,1.16
2020-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.2,1.0
2020-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.78,0.95
2020-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,7.7,0.94
2020-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.42,1.14
2020-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.54,1.15
2020-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.32,1.12
2020-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.21,1.11
2020-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.47,1.01
2020-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.74,1.16
2021-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,11.07,1.32
2021-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,10.72,1.27
2021-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.73,1.15
2021-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.71,1.03
2021-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.16,0.96
2021-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,8.26,0.97
2021-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.97,1.17
2021-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.51,1.11
2021-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,10.19,1.18
2021-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.93,1.15
2021-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,9.04,1.05
2021-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,10.17,1.17
2022-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,14.41,1.66
2022-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,12.77,1.46
2022-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,12.42,1.42
2022-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,11.45,1.3
