date,adm1_name,adm2_name,rfh,rfh_avg,rfq,r1h,r1h_avg,r1q,r3h,r3h_avg,r3q
2004-05-25,Greater Accra,Accra Metropolitan,1.61,2,-18.3,4.84,6,-16.5,14.53,18,-14.7
2004-06-04,Greater Accra,Accra Metropolitan,3.82,5,-23.2,11.45,15,-20.9,34.34,45,-18.6
2004-06-14,Greater Accra,Accra Metropolitan,14.14,12,17.7,42.42,36,15.9,127.27,108,14.2
2004-06-24,Greater Accra,Accra Metropolitan,10.58,8,31.8,31.73,24,28.6,95.2,72,25.5
2004-07-04,Greater Accra,Accra Metropolitan,6.63,5,32.0,19.89,15,28.8,59.67,45,25.6
2004-07-14,Greater Accra,Accra Metropolitan,1.95,3,-33.8,5.85,9,-30.5,17.56,27,-27.1
2004-07-24,Greater Accra,Accra Metropolitan,3.54,4,-11.3,10.61,12,-10.2,31.83,36,-9.1
2004-08-03,Greater Accra,Accra Metropolitan,5.58,5,11.4,16.74,15,10.2,50.22,45,9.1
2004-08-13,Greater Accra,Accra Metropolitan,4.22,3,39.3,12.66,9,35.4,37.97,27,31.5
2004-08-23,Greater Accra,Accra Metropolitan,1.52,2,-22.8,4.56,6,-20.5,13.69,18,-18.3
2004-09-02,Greater Accra,Accra Metropolitan,1.81,2,-8.8,5.44,6,-8.0,16.33,18,-7.1
2004-09-12,Greater Accra,Accra Metropolitan,1.62,3,-44.6,4.85,9,-40.1,14.55,27,-35.7
2004-09-22,Greater Accra,Accra Metropolitan,2.21,4,-43.8,6.62,12,-39.4,19.85,36,-35.0
2004-10-02,Greater Accra,Accra Metropolitan,4.02,3,32.8,12.05,9,29.5,36.14,27,26.2
2004-10-12,Greater Accra,Accra Metropolitan,3.36,2,64.6,10.07,6,58.1,30.21,18,51.7
2004-10-22,Greater Accra,Accra Metropolitan,2.91,3,-2.9,8.73,9,-2.6,26.19,27,-2.3
2004-11-01,Greater Accra,Accra Metropolitan,4.25,3,40.5,12.76,9,36.4,38.29,27,32.4
2004-11-11,Greater Accra,Accra Metropolitan,2.36,2,17.2,7.08,6,15.5,21.25,18,13.8
2004-11-21,Greater Accra,Accra Metropolitan,3.03,4,-23.6,9.1,12,-21.2,27.29,36,-18.9
2004-12-01,Greater Accra,Accra Metropolitan,6.72,6,11.8,20.17,18,10.7,60.51,54,9.5
2004-12-11,Greater Accra,Accra Metropolitan,17.38,12,44.5,52.15,36,40.0,156.45,108,35.6
2004-12-21,Greater Accra,Accra Metropolitan,1.96,2,-1.7,5.89,6,-1.5,17.68,18,-1.4
2004-12-31,Greater Accra,Accra Metropolitan,4.96,3,63.1,14.87,9,56.8,44.6,27,50.5
2005-01-10,Greater Accra,Accra Metropolitan,1.45,8,-80.9,4.35,24,-72.8,13.06,72,-64.7
2005-01-20,Greater Accra,Accra Metropolitan,22.11,18,22.7,66.33,54,20.4,198.99,162,18.2
2005-01-30,Greater Accra,Accra Metropolitan,28.65,28,2.3,85.96,84,2.1,257.88,252,1.9
2005-02-09,Greater Accra,Accra Metropolitan,32.23,35,-7.9,96.7,105,-7.1,290.11,315,-6.3
2005-02-19,Greater Accra,Accra Metropolitan,20.5,20,2.5,61.51,60,2.3,184.54,180,2.0
2005-03-01,Greater Accra,Accra Metropolitan,6.55,15,-55.9,19.66,45,-50.3,58.98,135,-44.8
2005-03-11,Greater Accra,Accra Metropolitan,23.52,25,-5.9,70.55,75,-5.3,211.65,225,-4.7
2005-03-21,Greater Accra,Accra Metropolitan,35.04,32,9.5,105.11,96,8.5,315.32,288,7.6
2005-03-31,Greater Accra,Accra Metropolitan,25.39,18,40.8,76.17,54,36.7,228.51,162,32.7
2005-04-10,Greater Accra,Accra Metropolitan,6.7,8,-16.0,20.11,24,-14.4,60.34,72,-12.8
2005-04-20,Greater Accra,Accra Metropolitan,2.79,4,-29.6,8.36,12,-26.6,25.09,36,-23.7
2005-04-30,Greater Accra,Accra Metropolitan,1.5,2,-23.9,4.49,6,-21.5,13.48,18,-19.1
2005-05-10,Greater Accra,Accra Metropolitan,1.69,1,62.4,5.06,3,56.2,15.18,9,49.9
2005-05-20,Greater Accra,Accra Metropolitan,2.33,2,15.7,6.99,6,14.1,20.96,18,12.5
2005-05-30,Greater Accra,Accra Metropolitan,4.07,5,-18.2,12.22,15,-16.4,36.66,45,-14.5
2005-06-09,Greater Accra,Accra Metropolitan,13.8,12,14.8,41.39,36,13.4,124.17,108,11.9
2005-06-19,Greater Accra,Accra Metropolitan,8.24,8,3.0,24.73,24,2.7,74.18,72,2.4
2005-06-29,Greater Accra,Accra Metropolitan,6.7,5,33.2,20.09,15,29.9,60.26,45,26.6
2005-07-09,Greater Accra,Accra Metropolitan,2.12,3,-28.3,6.37,9,-25.5,19.1,27,-22.6
2005-07-19,Greater Accra,Accra Metropolitan,3.51,4,-12.0,10.53,12,-10.8,31.58,36,-9.6
2005-07-29,Greater Accra,Accra Metropolitan,4.31,5,-13.5,12.94,15,-12.1,38.82,45,-10.8
2005-08-08,Greater Accra,Accra Metropolitan,1.17,3,-59.0,3.51,9,-53.1,10.54,27,-47.2
2005-08-18,Greater Accra,Accra Metropolitan,2.3,2,14.1,6.89,6,12.7,20.67,18,11.3
2005-08-28,Greater Accra,Accra Metropolitan,2.26,2,12.4,6.78,6,11.2,20.35,18,9.9
2005-09-07,Greater Accra,Accra Metropolitan,3.01,3,0.2,9.02,9,0.2,27.06,27,0.2
2005-09-17,Greater Accra,Accra Metropolitan,3.65,4,-8.6,10.94,12,-7.7,32.83,36,-6.9
2005-09-27,Greater Accra,Accra Metropolitan,1.23,3,-57.1,3.69,9,-51.4,11.08,27,-45.7
2005-10-07,Greater Accra,Accra Metropolitan,1.58,2,-20.0,4.74,6,-18.0,14.21,18,-16.0
2005-10-17,Greater Accra,Accra Metropolitan,2.57,3,-13.8,7.71,9,-12.4,23.14,27,-11.1
2005-10-27,Greater Accra,Accra Metropolitan,2.0,3,-32.3,5.99,9,-29.1,17.97,27,-25.9
2005-11-06,Greater Accra,Accra Metropolitan,1.84,2,-7.7,5.52,6,-6.9,16.55,18,-6.1
2005-11-16,Greater Accra,Accra Metropolitan,4.61,4,14.8,13.82,12,13.3,41.45,36,11.8
2005-11-26,Greater Accra,Accra Metropolitan,9.77,6,61.8,29.32,18,55.7,87.95,54,49.5
2005-12-06,Greater Accra,Accra Metropolitan,12.61,12,5.0,37.83,36,4.5,113.5,108,4.0
2005-12-16,Greater Accra,Accra Metropolitan,2.26,2,12.3,6.77,6,11.0,20.32,18,9.8
2005-12-26,Greater Accra,Accra Metropolitan,2.91,3,-3.0,8.72,9,-2.7,26.16,27,-2.4
2006-01-05,Greater Accra,Accra Metropolitan,3.2,8,-59.2,9.61,24,-53.3,28.83,72,-47.4
2006-01-15,Greater Accra,Accra Metropolitan,17.87,18,-0.7,53.6,54,-0.7,160.81,162,-0.6
2006-01-25,Greater Accra,Accra Metropolitan,28.45,28,1.6,85.36,84,1.4,256.07,252,1.3
2006-02-04,Greater Accra,Accra Metropolitan,57.78,35,64.9,173.35,105,58.4,520.06,315,51.9
2006-02-14,Greater Accra,Accra Metropolitan,18.94,20,-5.3,56.83,60,-4.7,170.48,180,-4.2
2006-02-24,Greater Accra,Accra Metropolitan,16.28,15,8.5,48.84,45,7.6,146.53,135,6.8
2006-03-06,Greater Accra,Accra Metropolitan,24.77,25,-0.9,74.3,75,-0.8,222.89,225,-0.7
2006-03-16,Greater Accra,Accra Metropolitan,22.07,32,-30.9,66.2,96,-27.9,198.6,288,-24.8
2006-03-26,Greater Accra,Accra Metropolitan,23.71,18,31.6,71.14,54,28.4,213.43,162,25.3
2006-04-05,Greater Accra,Accra Metropolitan,9.88,8,23.2,29.64,24,20.9,88.92,72,18.6
2006-04-15,Greater Accra,Accra Metropolitan,5.19,4,28.9,15.56,12,26.0,46.68,36,23.2
2006-04-25,Greater Accra,Accra Metropolitan,1.09,2,-43.3,3.27,6,-39.0,9.82,18,-34.6
2006-05-05,Greater Accra,Accra Metropolitan,2.05,1,95.6,6.16,3,86.1,18.47,9,76.5
2006-05-15,Greater Accra,Accra Metropolitan,0.6,2,-66.8,1.79,6,-60.1,5.38,18,-53.4
2006-05-25,Greater Accra,Accra Metropolitan,6.03,5,20.1,18.08,15,18.1,54.24,45,16.1
2006-06-04,Greater Accra,Accra Metropolitan,19.67,12,63.4,59.0,36,57.0,177.0,108,50.7
2006-06-14,Greater Accra,Accra Metropolitan,5.52,8,-30.6,16.57,24,-27.5,49.71,72,-24.5
2006-06-24,Greater Accra,Accra Metropolitan,4.01,5,-19.4,12.03,15,-17.5,36.08,45,-15.5
2006-07-04,Greater Accra,Accra Metropolitan,3.12,3,4.0,9.37,9,3.6,28.12,27,3.2
2006-07-14,Greater Accra,Accra Metropolitan,3.24,4,-18.4,9.73,12,-16.6,29.2,36,-14.7
2006-07-24,Greater Accra,Accra Metropolitan,2.29,5,-53.2,6.86,15,-47.9,20.58,45,-42.6
2006-08-03,Greater Accra,Accra Metropolitan,3.09,3,2.8,9.26,9,2.5,27.77,27,2.2
2006-08-13,Greater Accra,Accra Metropolitan,0.94,2,-50.6,2.81,6,-45.5,8.44,18,-40.5
2006-08-23,Greater Accra,Accra Metropolitan,2.47,2,22.6,7.42,6,20.3,22.26,18,18.0
2006-09-02,Greater Accra,Accra Metropolitan,1.85,3,-37.1,5.55,9,-33.4,16.66,27,-29.7
2006-09-12,Greater Accra,Accra Metropolitan,6.32,4,56.7,18.97,12,51.0,56.92,36,45.4
2006-09-22,Greater Accra,Accra Metropolitan,2.02,3,-31.6,6.06,9,-28.4,18.19,27,-25.3
2006-10-02,Greater Accra,Accra Metropolitan,1.68,2,-15.3,5.03,6,-13.8,15.1,18,-12.3
2006-10-12,Greater Accra,Accra Metropolitan,4.02,3,32.8,12.05,9,29.5,36.15,27,26.2
2006-10-22,Greater Accra,Accra Metropolitan,1.46,3,-49.6,4.38,9,-44.7,13.15,27,-39.7
2006-11-01,Greater Accra,Accra Metropolitan,2.23,2,10.8,6.68,6,9.7,20.05,18,8.7
2006-11-11,Greater Accra,Accra Metropolitan,5.96,4,47.8,17.88,12,43.0,53.65,36,38.3
2006-11-21,Greater Accra,Accra Metropolitan,2.79,6,-52.7,8.36,18,-47.4,25.07,54,-42.2
2006-12-01,Greater Accra,Accra Metropolitan,12.65,12,5.3,37.94,36,4.8,113.82,108,4.3
2006-12-11,Greater Accra,Accra Metropolitan,2.26,2,12.4,6.78,6,11.1,20.34,18,9.9
2006-12-21,Greater Accra,Accra Metropolitan,3.98,3,31.5,11.93,9,28.4,35.8,27,25.2
2006-12-31,Greater Accra,Accra Metropolitan,4.91,8,-38.2,14.72,24,-34.4,44.17,72,-30.5
2007-01-10,Greater Accra,Accra Metropolitan,11.4,18,-36.5,34.19,54,-32.8,102.58,162,-29.2
2007-01-20,Greater Accra,Accra Metropolitan,31.91,28,13.9,95.74,84,12.5,287.23,252,11.1
2007-01-30,Greater Accra,Accra Metropolitan,37.75,35,7.8,113.24,105,7.0,339.72,315,6.3
2007-02-09,Greater Accra,Accra Metropolitan,21.38,20,6.9,64.13,60,6.2,192.4,180,5.5
2007-02-19,Greater Accra,Accra Metropolitan,16.47,15,9.8,49.42,45,8.8,148.25,135,7.8
2007-03-01,Greater Accra,Accra Metropolitan,20.41,25,-18.3,61.23,75,-16.5,183.69,225,-14.6
2007-03-11,Greater Accra,Accra Metropolitan,33.97,32,6.2,101.92,96,5.5,305.77,288,4.9
2007-03-21,Greater Accra,Accra Metropolitan,19.47,18,8.1,58.4,54,7.3,175.19,162,6.5
2007-03-31,Greater Accra,Accra Metropolitan,6.21,8,-22.0,18.64,24,-19.8,55.93,72,-17.6
2007-04-10,Greater Accra,Accra Metropolitan,6.8,4,68.3,20.4,12,61.4,61.19,36,54.6
2007-04-20,Greater Accra,Accra Metropolitan,2.47,2,22.6,7.42,6,20.3,22.26,18,18.1
2007-04-30,Greater Accra,Accra Metropolitan,0.11,1,-81.2,0.32,3,-73.1,0.96,9,-65.0
2007-05-10,Greater Accra,Accra Metropolitan,2.66,2,31.3,7.97,6,28.1,23.91,18,25.0
2007-05-20,Greater Accra,Accra Metropolitan,3.29,5,-33.4,9.88,15,-30.1,29.65,45,-26.8
2007-05-30,Greater Accra,Accra Metropolitan,14.75,12,22.8,44.26,36,20.5,132.79,108,18.2
2007-06-09,Greater Accra,Accra Metropolitan,10.9,8,35.8,32.69,24,32.2,98.07,72,28.6
2007-06-19,Greater Accra,Accra Metropolitan,3.56,5,-28.2,10.69,15,-25.3,32.07,45,-22.5
2007-06-29,Greater Accra,Accra Metropolitan,4.2,3,38.8,12.61,9,35.0,37.84,27,31.1
2007-07-09,Greater Accra,Accra Metropolitan,4.62,4,15.1,13.86,12,13.6,41.57,36,12.1
2007-07-19,Greater Accra,Accra Metropolitan,6.44,5,28.2,19.32,15,25.4,57.95,45,22.6
2007-07-29,Greater Accra,Accra Metropolitan,5.37,3,76.5,16.11,9,68.8,48.34,27,61.2
2007-08-08,Greater Accra,Accra Metropolitan,1.75,2,-11.7,5.26,6,-10.5,15.79,18,-9.3
2007-08-18,Greater Accra,Accra Metropolitan,1.25,2,-35.9,3.74,6,-32.3,11.22,18,-28.7
2007-08-28,Greater Accra,Accra Metropolitan,1.89,3,-35.9,5.66,9,-32.3,16.99,27,-28.7
2007-09-07,Greater Accra,Accra Metropolitan,2.78,4,-29.8,8.33,12,-26.9,24.99,36,-23.9
2007-09-17,Greater Accra,Accra Metropolitan,2.9,3,-3.1,8.71,9,-2.8,26.13,27,-2.5
2007-09-27,Greater Accra,Accra Metropolitan,2.34,2,16.2,7.02,6,14.6,21.07,18,13.0
2007-10-07,Greater Accra,Accra Metropolitan,3.35,3,11.2,10.04,9,10.0,30.11,27,8.9
2007-10-17,Greater Accra,Accra Metropolitan,4.03,3,33.4,12.1,9,30.0,36.31,27,26.7
2007-10-27,Greater Accra,Accra Metropolitan,2.01,2,0.6,6.04,6,0.6,18.12,18,0.5
2007-11-06,Greater Accra,Accra Metropolitan,6.18,4,53.2,18.54,12,47.9,55.62,36,42.5
2007-11-16,Greater Accra,Accra Metropolitan,5.47,6,-8.7,16.41,18,-7.8,49.24,54,-6.9
2007-11-26,Greater Accra,Accra Metropolitan,21.52,12,78.7,64.56,36,70.8,193.69,108,62.9
2007-12-06,Greater Accra,Accra Metropolitan,2.63,2,29.8,7.88,6,26.8,23.63,18,23.8
2007-12-16,Greater Accra,Accra Metropolitan,1.93,3,-34.6,5.79,9,-31.1,17.36,27,-27.7
2007-12-26,Greater Accra,Accra Metropolitan,5.32,8,-33.1,15.97,24,-29.7,47.9,72,-26.4
2008-01-05,Greater Accra,Accra Metropolitan,20.41,18,13.3,61.24,54,12.0,183.71,162,10.7
2008-01-15,Greater Accra,Accra Metropolitan,26.32,28,-6.0,78.97,84,-5.4,236.92,252,-4.8
2008-01-25,Greater Accra,Accra Metropolitan,41.6,35,18.8,124.81,105,16.9,374.44,315,15.1
2008-02-04,Greater Accra,Accra Metropolitan,22.6,20,12.9,67.81,60,11.7,203.43,180,10.4
2008-02-14,Greater Accra,Accra Metropolitan,14.69,15,-2.0,44.07,45,-1.8,132.21,135,-1.6
2008-02-24,Greater Accra,Accra Metropolitan,19.28,25,-22.8,57.85,75,-20.5,173.56,225,-18.2
2008-03-05,Greater Accra,Accra Metropolitan,19.12,32,-40.1,57.37,96,-36.1,172.11,288,-32.1
2008-03-15,Greater Accra,Accra Metropolitan,15.77,18,-12.3,47.3,54,-11.1,141.91,162,-9.9
2008-03-25,Greater Accra,Accra Metropolitan,10.14,8,26.4,30.42,24,23.8,91.27,72,21.1
2008-04-04,Greater Accra,Accra Metropolitan,4.32,4,7.8,12.96,12,7.0,38.89,36,6.3
2008-04-14,Greater Accra,Accra Metropolitan,0.75,2,-59.3,2.26,6,-53.4,6.79,18,-47.5
2008-04-24,Greater Accra,Accra Metropolitan,1.13,1,11.8,3.39,3,10.6,10.17,9,9.4
2008-05-04,Greater Accra,Accra Metropolitan,2.39,2,18.3,7.16,6,16.5,21.47,18,14.7
2008-05-14,Greater Accra,Accra Metropolitan,3.45,5,-30.3,10.36,15,-27.3,31.08,45,-24.3
2008-05-24,Greater Accra,Accra Metropolitan,12.54,12,4.4,37.61,36,4.0,112.84,108,3.6
2008-06-03,Greater Accra,Accra Metropolitan,8.15,8,1.8,24.44,24,1.6,73.31,72,1.4
2008-06-13,Greater Accra,Accra Metropolitan,3.0,5,-39.2,9.0,15,-35.3,27.0,45,-31.4
2008-06-23,Greater Accra,Accra Metropolitan,3.45,3,14.4,10.34,9,13.0,31.03,27,11.5
2008-07-03,Greater Accra,Accra Metropolitan,4.84,4,20.5,14.52,12,18.5,43.57,36,16.4
2008-07-13,Greater Accra,Accra Metropolitan,6.9,5,37.2,20.69,15,33.4,62.06,45,29.7
2008-07-23,Greater Accra,Accra Metropolitan,4.32,3,42.5,12.95,9,38.2,38.86,27,34.0
2008-08-02,Greater Accra,Accra Metropolitan,0.62,2,-65.6,1.87,6,-59.0,5.6,18,-52.5
2008-08-12,Greater Accra,Accra Metropolitan,1.06,2,-44.7,3.19,6,-40.2,9.56,18,-35.7
2008-08-22,Greater Accra,Accra Metropolitan,3.64,3,20.8,10.93,9,18.7,32.79,27,16.6
2008-09-01,Greater Accra,Accra Metropolitan,4.77,4,18.8,14.31,12,16.9,42.94,36,15.0
2008-09-11,Greater Accra,Accra Metropolitan,3.64,3,20.8,10.93,9,18.7,32.79,27,16.6
2008-09-21,Greater Accra,Accra Metropolitan,5.85,2,183.5,17.56,6,165.1,52.67,18,146.8
2008-10-01,Greater Accra,Accra Metropolitan,3.71,3,23.0,11.14,9,20.7,33.42,27,18.4
2008-10-11,Greater Accra,Accra Metropolitan,4.42,3,45.8,13.26,9,41.2,39.78,27,36.6
2008-10-21,Greater Accra,Accra Metropolitan,2.95,2,45.4,8.86,6,40.9,26.59,18,36.3
2008-10-31,Greater Accra,Accra Metropolitan,4.98,4,23.8,14.93,12,21.4,44.79,36,19.1
2008-11-10,Greater Accra,Accra Metropolitan,5.37,6,-10.3,16.11,18,-9.3,48.33,54,-8.3
2008-11-20,Greater Accra,Accra Metropolitan,14.66,12,22.0,43.97,36,19.8,131.91,108,17.6
2008-11-30,Greater Accra,Accra Metropolitan,1.23,2,-36.8,3.68,6,-33.1,11.04,18,-29.4
2008-12-10,Greater Accra,Accra Metropolitan,2.7,3,-9.5,8.11,9,-8.6,24.34,27,-7.6
2008-12-20,Greater Accra,Accra Metropolitan,6.79,8,-15.0,20.36,24,-13.5,61.08,72,-12.0
2008-12-30,Greater Accra,Accra Metropolitan,18.41,18,2.3,55.23,54,2.0,165.68,162,1.8
2009-01-09,Greater Accra,Accra Metropolitan,45.36,28,61.8,136.08,84,55.6,408.24,252,49.4
2009-01-19,Greater Accra,Accra Metropolitan,17.73,35,-49.2,53.18,105,-44.3,159.55,315,-39.4
2009-01-29,Greater Accra,Accra Metropolitan,23.77,20,18.8,71.32,60,16.9,213.97,180,15.0
2009-02-08,Greater Accra,Accra Metropolitan,8.15,15,-45.4,24.44,45,-40.9,73.31,135,-36.3
2009-02-18,Greater Accra,Accra Metropolitan,21.81,25,-12.7,65.44,75,-11.4,196.33,225,-10.2
2009-02-28,Greater Accra,Accra Metropolitan,41.26,32,28.8,123.77,96,26.0,371.3,288,23.1
2009-03-10,Greater Accra,Accra Metropolitan,18.32,18,1.8,54.96,54,1.6,164.89,162,1.4
2009-03-20,Greater Accra,Accra Metropolitan,5.31,8,-33.3,15.92,24,-29.9,47.75,72,-26.6
2009-03-30,Greater Accra,Accra Metropolitan,2.93,4,-26.2,8.78,12,-23.6,26.34,36,-20.9
2009-04-09,Greater Accra,Accra Metropolitan,2.68,2,32.4,8.04,6,29.1,24.12,18,25.9
2009-04-19,Greater Accra,Accra Metropolitan,0.45,1,-49.8,1.36,3,-44.8,4.07,9,-39.8
2009-04-29,Greater Accra,Accra Metropolitan,2.22,2,10.3,6.65,6,9.3,19.95,18,8.2
2009-05-09,Greater Accra,Accra Metropolitan,5.08,5,1.6,15.24,15,1.4,45.72,45,1.3
2009-05-19,Greater Accra,Accra Metropolitan,9.72,12,-18.8,29.16,36,-17.0,87.47,108,-15.1
2009-05-29,Greater Accra,Accra Metropolitan,13.36,8,66.2,40.08,24,59.6,120.24,72,52.9
2009-06-08,Greater Accra,Accra Metropolitan,6.11,5,21.8,18.33,15,19.6,54.98,45,17.4
2009-06-18,Greater Accra,Accra Metropolitan,0.47,3,-81.7,1.41,9,-73.5,4.22,27,-65.3
2009-06-28,Greater Accra,Accra Metropolitan,4.28,4,6.8,12.84,12,6.1,38.52,36,5.5
2009-07-08,Greater Accra,Accra Metropolitan,3.84,5,-22.7,11.53,15,-20.4,34.58,45,-18.2
2009-07-18,Greater Accra,Accra Metropolitan,4.07,3,34.4,12.2,9,30.9,36.59,27,27.5
2009-07-28,Greater Accra,Accra Metropolitan,1.21,2,-37.7,3.62,6,-34.0,10.87,18,-30.2
2009-08-07,Greater Accra,Accra Metropolitan,1.89,2,-5.5,5.66,6,-4.9,16.97,18,-4.4
2009-08-17,Greater Accra,Accra Metropolitan,3.63,3,20.4,10.89,9,18.3,32.68,27,16.3
2009-08-27,Greater Accra,Accra Metropolitan,5.3,4,31.7,15.9,12,28.5,47.69,36,25.3
2009-09-06,Greater Accra,Accra Metropolitan,1.5,3,-48.4,4.5,9,-43.6,13.5,27,-38.7
2009-09-16,Greater Accra,Accra Metropolitan,1.67,2,-15.9,5.0,6,-14.3,14.99,18,-12.7
2009-09-26,Greater Accra,Accra Metropolitan,2.41,3,-19.2,7.22,9,-17.2,21.66,27,-15.3
2009-10-06,Greater Accra,Accra Metropolitan,2.18,3,-26.3,6.55,9,-23.7,19.65,27,-21.1
2009-10-16,Greater Accra,Accra Metropolitan,3.77,2,84.1,11.3,6,75.7,33.89,18,67.3
2009-10-26,Greater Accra,Accra Metropolitan,4.61,4,14.8,13.82,12,13.3,41.47,36,11.9
